Last Name,First Name,Gender,Birthday,Skill Level,Preferred Practice Location,School,Parent HC,Parent AC,Age Group,Team
Anderson,Susan,F,2019-05-21,Beginner,Silverlake/East 288,Aspen Charter School,N,N,u-6,1
Moore,Thomas,F,2019-03-25,Beginner,Silverlake/East 288,Cypress School,N,Y,u-6,1
Rodriguez,Joseph,F,2018-12-22,Very Good,Hwy 6 South,Maple Middle School,N,N,u-6,1
Rodriguez,Barbara,F,2018-10-20,Beginner,Silverlake/East 288,Willow Elementary,N,N,u-6,1
Garcia,Thomas,M,2018-09-11,Average,West 288,Cedar Academy,N,N,u-6,1
Miller,Linda,M,2019-08-31,Very Good,Silverlake/East 288,Magnolia High,Y,N,u-6,1
Hernandez,Richard,M,2018-11-08,Very Good,West 288,Redwood Preparatory,Y,N,u-6,1
Anderson,David,M,2019-04-11,Advanced,West 288,Spruce High,N,N,u-6,1
Garcia,Dorothy,F,2019-05-20,Average,Silverlake/East 288,Cedar Academy,N,N,u-6,2
Rodriguez,John,F,2019-05-16,Advanced,Silverlake/East 288,Cypress School,N,N,u-6,2
Miller,Susan,F,2019-07-08,Average,West 288,Pine High School,Y,N,u-6,2
Johnson,John,M,2019-07-10,Average,West 288,Aspen Charter School,N,N,u-6,2
Miller,Dorothy,M,2018-10-28,Very Good,West 288,Chestnut Middle School,Y,N,u-6,2
Martinez,David,M,2018-11-09,Advanced,West 288,Maple Middle School,N,N,u-6,2
Garcia,Jennifer,M,2018-11-07,Beginner,Far East,Redwood Preparatory,Y,N,u-6,2
Jackson,James,M,2019-05-22,Beginner,Hwy 6 South,Willow Elementary,N,Y,u-6,2
Jackson,Linda,F,2018-12-30,Beginner,Silverlake/East 288,Chestnut Middle School,N,N,u-6,3
Jones,Joseph,F,2018-09-01,Very Good,Hwy 6 South,Elm Middle School,N,N,u-6,3
Miller,Thomas,F,2018-12-07,Average,West 288,Pine High School,N,N,u-6,3
Lopez,Thomas,M,2019-07-09,Very Good,Silverlake/East 288,Birch School,N,N,u-6,3
Martinez,James,M,2018-11-12,Average,Silverlake/East 288,Cypress School,Y,N,u-6,3
Brown,Mary,M,2019-02-09,Beginner,West 288,Oak Elementary,Y,N,u-6,3
Miller,Charles,M,2018-09-29,Advanced,West 288,Redwood Preparatory,N,N,u-6,3
Thomas,Richard,M,2019-03-16,Advanced,Hwy 6 South,Willow Elementary,N,N,u-6,3
Anderson,Susan,F,2019-03-10,Average,Blue Ridge Soccer Park (South Houston),Chestnut Middle School,N,N,u-6,4
Martin,William,F,2019-04-27,Beginner,West 288,Elm Middle School,N,N,u-6,4
Williams,Dorothy,F,2019-05-23,Advanced,West 288,Pine High School,N,N,u-6,4
Wilson,John,M,2019-02-15,Beginner,Silverlake/East 288,Birch School,N,Y,u-6,4
Martinez,Dorothy,M,2018-09-05,Very Good,West 288,Elm Middle School,N,N,u-6,4
Miller,Jennifer,M,2019-04-24,Average,Silverlake/East 288,Oak Elementary,N,N,u-6,4
Anderson,Patricia,M,2019-01-11,Advanced,West 288,Redwood Preparatory,N,N,u-6,4
Gonzalez,Linda,F,2019-04-18,Average,Far East,Chestnut Middle School,N,N,u-6,5
Thomas,John,F,2019-06-29,Advanced,Far East,Elm Middle School,Y,N,u-6,5
Hernandez,James,F,2018-11-05,Advanced,Blue Ridge Soccer Park (South Houston),Spruce High,N,N,u-6,5
Miller,Patricia,M,2019-04-13,Average,Far East,Birch School,N,N,u-6,5
Moore,Margaret,M,2018-11-18,Beginner,Silverlake/East 288,Elm Middle School,N,N,u-6,5
Taylor,Richard,M,2019-05-16,Average,Blue Ridge Soccer Park (South Houston),Pine High School,Y,N,u-6,5
Smith,Linda,M,2018-11-18,Very Good,Silverlake/East 288,Spruce High,N,N,u-6,5
Martin,Linda,F,2018-11-16,Average,West 288,Chestnut Middle School,N,N,u-6,6
Martin,William,F,2019-04-19,Average,West 288,Magnolia High,N,N,u-6,6
Miller,David,F,2019-08-17,Beginner,Blue Ridge Soccer Park (South Houston),Sycamore Elementary,N,N,u-6,6
Taylor,Charles,M,2019-05-28,Beginner,Silverlake/East 288,Cedar Academy,N,N,u-6,6
Davis,David,M,2018-12-27,Beginner,West 288,Elm Middle School,N,N,u-6,6
Brown,Susan,M,2019-06-30,Very Good,Silverlake/East 288,Poplar Academy,N,N,u-6,6
Brown,Elizabeth,M,2019-01-08,Very Good,West 288,Spruce High,Y,N,u-6,6
Moore,Patricia,M,2017-03-18,Advanced,West 288,Aspen Charter School,N,N,u-8,1
Hernandez,John,M,2016-10-02,Advanced,Far East,Birch School,Y,N,u-8,1
Miller,Robert,M,2017-04-27,Advanced,Silverlake/East 288,Cedar Academy,N,Y,u-8,1
Hernandez,Elizabeth,M,2018-05-29,Beginner,West 288,Magnolia High,N,N,u-8,1
Martin,Mary,M,2018-05-15,Average,Hwy 6 South,Oak Elementary,N,Y,u-8,1
Martinez,Thomas,M,2018-02-09,Beginner,Hwy 6 South,Pine High School,N,N,u-8,1
Miller,Jennifer,M,2016-11-05,Beginner,Blue Ridge Soccer Park (South Houston),Redwood Preparatory,N,N,u-8,1
Martinez,Richard,M,2017-06-15,Beginner,Silverlake/East 288,Spruce High,N,N,u-8,1
Johnson,James,M,2016-09-23,Advanced,West 288,Sycamore Elementary,N,N,u-8,1
Lopez,Dorothy,M,2018-08-09,Advanced,West 288,Aspen Charter School,N,N,u-8,2
Anderson,Barbara,M,2017-08-23,Very Good,West 288,Cedar Academy,N,N,u-8,2
Jackson,David,M,2017-01-13,Very Good,West 288,Chestnut Middle School,N,N,u-8,2
Lopez,Robert,M,2017-02-07,Beginner,West 288,Maple Middle School,N,N,u-8,2
Smith,Richard,M,2017-01-01,Average,West 288,Oak Elementary,N,N,u-8,2
Rodriguez,Elizabeth,M,2017-08-30,Average,Hwy 6 South,Pine High School,N,N,u-8,2
Williams,Thomas,M,2016-09-06,Advanced,Blue Ridge Soccer Park (South Houston),Redwood Preparatory,N,N,u-8,2
Johnson,Linda,M,2018-02-15,Advanced,West 288,Spruce High,N,N,u-8,2
Lopez,Charles,M,2017-03-23,Very Good,Hwy 6 South,Willow Elementary,N,N,u-8,2
Williams,Joseph,M,2016-10-11,Very Good,West 288,Birch School,Y,N,u-8,3
Martin,Richard,M,2018-07-27,Beginner,Hwy 6 South,Cedar Academy,N,N,u-8,3
Gonzalez,Patricia,M,2017-02-27,Very Good,Far East,Elm Middle School,N,Y,u-8,3
Davis,David,M,2017-05-27,Advanced,Blue Ridge Soccer Park (South Houston),Maple Middle School,N,N,u-8,3
Davis,Dorothy,M,2017-02-01,Advanced,Silverlake/East 288,Oak Elementary,N,N,u-8,3
Hernandez,David,M,2017-01-26,Average,West 288,Pine High School,Y,N,u-8,3
Rodriguez,Margaret,M,2017-08-09,Advanced,Silverlake/East 288,Redwood Preparatory,N,N,u-8,3
Thomas,Robert,M,2018-07-02,Advanced,West 288,Spruce High,N,N,u-8,3
Garcia,Patricia,M,2018-08-16,Beginner,Hwy 6 South,Willow Elementary,N,N,u-8,3
Gonzalez,Richard,M,2017-03-04,Average,West 288,Birch School,N,N,u-8,4
Rodriguez,Joseph,M,2018-07-16,Beginner,West 288,Cedar Academy,N,N,u-8,4
Thomas,Thomas,M,2018-04-16,Very Good,West 288,Elm Middle School,N,N,u-8,4
Jackson,William,M,2017-06-14,Advanced,West 288,Maple Middle School,N,N,u-8,4
Johnson,Linda,M,2018-01-07,Advanced,Silverlake/East 288,Oak Elementary,N,N,u-8,4
Brown,Barbara,M,2017-08-31,Advanced,Blue Ridge Soccer Park (South Houston),Poplar Academy,N,N,u-8,4
Davis,Margaret,M,2018-04-30,Advanced,Silverlake/East 288,Redwood Preparatory,N,N,u-8,4
Smith,Charles,M,2016-11-21,Advanced,West 288,Sycamore Elementary,Y,N,u-8,4
Anderson,Dorothy,M,2017-09-30,Advanced,West 288,Willow Elementary,N,N,u-8,4
Rodriguez,Lisa,F,2018-06-16,Very Good,Silverlake/East 288,Aspen Charter School,N,N,u-8,5
Martin,William,F,2017-03-26,Advanced,Silverlake/East 288,Birch School,N,N,u-8,5
Miller,Robert,F,2017-01-24,Beginner,West 288,Chestnut Middle School,Y,N,u-8,5
Rodriguez,Jennifer,F,2017-05-15,Advanced,West 288,Chestnut Middle School,N,Y,u-8,5
Gonzalez,Charles,F,2017-09-16,Very Good,Blue Ridge Soccer Park (South Houston),Elm Middle School,N,N,u-8,5
Gonzalez,Linda,F,2017-08-17,Average,Silverlake/East 288,Maple Middle School,Y,Y,u-8,5
Wilson,Margaret,F,2016-10-29,Very Good,Silverlake/East 288,Pine High School,N,N,u-8,5
Smith,William,F,2018-05-17,Beginner,Hwy 6 South,Redwood Preparatory,N,N,u-8,5
Garcia,Mary,F,2018-03-02,Very Good,West 288,Spruce High,N,N,u-8,5
Williams,Mary,F,2018-02-15,Average,West 288,Sycamore Elementary,N,Y,u-8,5
Davis,John,F,2016-12-21,Beginner,Blue Ridge Soccer Park (South Houston),Aspen Charter School,N,N,u-8,6
Thomas,Robert,F,2017-09-02,Beginner,West 288,Cedar Academy,N,N,u-8,6
Hernandez,Jennifer,F,2017-05-28,Average,Silverlake/East 288,Chestnut Middle School,Y,N,u-8,6
Brown,Patricia,F,2017-05-17,Beginner,Hwy 6 South,Cypress School,N,N,u-8,6
Anderson,Michael,F,2017-11-23,Very Good,Silverlake/East 288,Elm Middle School,N,Y,u-8,6
Thomas,Dorothy,F,2018-03-24,Very Good,Silverlake/East 288,Oak Elementary,N,Y,u-8,6
Jones,William,F,2016-12-04,Average,West 288,Pine High School,N,N,u-8,6
Lopez,Dorothy,F,2016-09-10,Beginner,Silverlake/East 288,Redwood Preparatory,Y,N,u-8,6
Martin,Elizabeth,F,2017-10-08,Beginner,Silverlake/East 288,Spruce High,N,N,u-8,6
Anderson,Margaret,F,2017-03-17,Very Good,Hwy 6 South,Willow Elementary,N,N,u-8,6
Brown,Patricia,F,2017-06-26,Advanced,Silverlake/East 288,Aspen Charter School,N,N,u-8,7
Rodriguez,Lisa,F,2018-03-01,Very Good,Silverlake/East 288,Chestnut Middle School,N,Y,u-8,7
Thomas,Barbara,F,2017-07-01,Average,West 288,Chestnut Middle School,N,N,u-8,7
Smith,Mary,F,2016-10-07,Beginner,West 288,Cypress School,N,N,u-8,7
Martin,Thomas,F,2017-07-20,Advanced,Silverlake/East 288,Magnolia High,N,N,u-8,7
Rodriguez,Barbara,F,2018-04-12,Average,West 288,Oak Elementary,N,N,u-8,7
Hernandez,Elizabeth,F,2017-03-25,Very Good,Silverlake/East 288,Poplar Academy,N,N,u-8,7
Jackson,Susan,F,2017-12-12,Average,West 288,Redwood Preparatory,N,N,u-8,7
Davis,Dorothy,F,2017-12-27,Average,West 288,Spruce High,N,N,u-8,7
Jones,Lisa,F,2018-02-01,Beginner,Far East,Willow Elementary,N,N,u-8,7
Wilson,Michael,F,2017-10-02,Beginner,Far East,Birch School,Y,N,u-8,8
Thomas,Patricia,F,2017-08-14,Beginner,Far East,Chestnut Middle School,N,N,u-8,8
Jackson,Mary,F,2018-06-05,Advanced,Silverlake/East 288,Chestnut Middle School,N,N,u-8,8
Rodriguez,Michael,F,2017-08-22,Beginner,West 288,Cypress School,N,N,u-8,8
Smith,Lisa,F,2018-06-14,Very Good,Silverlake/East 288,Maple Middle School,Y,Y,u-8,8
Garcia,Elizabeth,F,2017-06-25,Advanced,Hwy 6 South,Oak Elementary,N,N,u-8,8
Thomas,Jennifer,F,2018-04-14,Very Good,Silverlake/East 288,Poplar Academy,N,N,u-8,8
Thomas,Jennifer,F,2018-01-27,Very Good,Silverlake/East 288,Spruce High,Y,N,u-8,8
Moore,Margaret,F,2018-04-22,Beginner,Far East,Sycamore Elementary,N,N,u-8,8
Martinez,Elizabeth,F,2018-07-01,Advanced,West 288,Willow Elementary,Y,N,u-8,8
Rodriguez,Patricia,M,2015-08-29,Very Good,West 288,Aspen Charter School,N,N,u-10,1
Lopez,David,M,2016-04-28,Advanced,Silverlake/East 288,Birch School,N,N,u-10,1
Anderson,Jennifer,M,2015-01-24,Very Good,Far East,Chestnut Middle School,N,N,u-10,1
Johnson,Charles,M,2015-12-19,Beginner,Silverlake/East 288,Elm Middle School,N,N,u-10,1
Lopez,John,M,2014-09-14,Beginner,Far East,Magnolia High,Y,Y,u-10,1
Miller,Robert,M,2015-11-04,Advanced,West 288,Maple Middle School,Y,N,u-10,1
Davis,Susan,M,2015-04-11,Average,Far East,Pine High School,N,N,u-10,1
Brown,Robert,M,2015-01-21,Beginner,Silverlake/East 288,Poplar Academy,N,Y,u-10,1
Gonzalez,Susan,M,2016-05-23,Advanced,Far East,Redwood Preparatory,N,N,u-10,1
Davis,Susan,M,2015-11-23,Very Good,West 288,Sycamore Elementary,N,N,u-10,1
Lopez,Margaret,M,2014-10-28,Very Good,Silverlake/East 288,Willow Elementary,N,N,u-10,1
Lopez,Susan,M,2015-09-09,Advanced,Silverlake/East 288,Aspen Charter School,N,N,u-10,2
Moore,Margaret,M,2015-04-09,Advanced,West 288,Birch School,N,N,u-10,2
Thomas,Susan,M,2014-09-21,Very Good,West 288,Chestnut Middle School,N,N,u-10,2
Martin,Lisa,M,2016-08-20,Average,Silverlake/East 288,Elm Middle School,N,N,u-10,2
Lopez,David,M,2015-09-08,Average,West 288,Magnolia High,N,N,u-10,2
Jackson,David,M,2015-07-18,Average,Silverlake/East 288,Oak Elementary,Y,Y,u-10,2
Lopez,Jennifer,M,2016-04-20,Average,Hwy 6 South,Pine High School,N,N,u-10,2
Lopez,Charles,M,2015-09-02,Average,Silverlake/East 288,Poplar Academy,N,N,u-10,2
Martin,David,M,2016-07-17,Very Good,Silverlake/East 288,Spruce High,Y,N,u-10,2
Moore,Elizabeth,M,2016-06-16,Beginner,Blue Ridge Soccer Park (South Houston),Sycamore Elementary,N,N,u-10,2
Anderson,James,M,2015-08-11,Beginner,Blue Ridge Soccer Park (South Houston),Willow Elementary,Y,N,u-10,2
Taylor,Michael,M,2015-02-10,Beginner,West 288,Birch School,N,N,u-10,3
Miller,Margaret,M,2015-09-27,Very Good,Silverlake/East 288,Cedar Academy,N,N,u-10,3
Gonzalez,Michael,M,2014-12-28,Average,Silverlake/East 288,Chestnut Middle School,N,Y,u-10,3
Jackson,Elizabeth,M,2015-01-25,Advanced,West 288,Elm Middle School,N,N,u-10,3
Hernandez,Elizabeth,M,2015-01-20,Advanced,West 288,Magnolia High,N,N,u-10,3
Wilson,Elizabeth,M,2015-02-13,Advanced,Silverlake/East 288,Oak Elementary,N,N,u-10,3
Garcia,Patricia,M,2015-03-14,Average,Silverlake/East 288,Pine High School,N,N,u-10,3
Smith,William,M,2016-05-30,Advanced,West 288,Poplar Academy,N,N,u-10,3
Davis,Richard,M,2015-12-20,Beginner,West 288,Spruce High,N,Y,u-10,3
Jackson,Robert,M,2014-11-07,Beginner,West 288,Sycamore Elementary,N,N,u-10,3
Thomas,Jennifer,M,2016-01-16,Advanced,West 288,Willow Elementary,N,N,u-10,3
Jackson,Margaret,M,2016-01-14,Advanced,Silverlake/East 288,Birch School,N,N,u-10,4
Hernandez,Richard,M,2014-11-11,Beginner,Silverlake/East 288,Cedar Academy,N,N,u-10,4
Davis,Robert,M,2015-05-14,Beginner,Blue Ridge Soccer Park (South Houston),Elm Middle School,N,N,u-10,4
Smith,Jennifer,M,2016-07-08,Very Good,Blue Ridge Soccer Park (South Houston),Magnolia High,N,Y,u-10,4
Moore,Dorothy,M,2015-11-17,Average,West 288,Maple Middle School,N,N,u-10,4
Williams,John,M,2016-05-17,Advanced,West 288,Oak Elementary,N,N,u-10,4
Johnson,James,M,2015-11-25,Advanced,West 288,Pine High School,Y,Y,u-10,4
Martinez,Charles,M,2015-04-11,Average,West 288,Redwood Preparatory,Y,N,u-10,4
Moore,Dorothy,M,2015-12-03,Very Good,Silverlake/East 288,Sycamore Elementary,N,N,u-10,4
Johnson,James,M,2015-05-26,Average,Blue Ridge Soccer Park (South Houston),Sycamore Elementary,Y,N,u-10,4
Thomas,Joseph,M,2016-03-25,Advanced,West 288,Willow Elementary,N,N,u-10,4
Jones,David,F,2016-02-15,Average,Far East,Aspen Charter School,N,N,u-10,5
Miller,Joseph,F,2016-06-04,Beginner,Silverlake/East 288,Cedar Academy,N,N,u-10,5
Davis,Margaret,F,2016-04-06,Very Good,Far East,Cypress School,N,N,u-10,5
Garcia,Lisa,F,2015-09-13,Very Good,West 288,Elm Middle School,N,N,u-10,5
Garcia,Susan,F,2015-06-21,Very Good,West 288,Magnolia High,N,N,u-10,5
Lopez,Jennifer,F,2015-10-10,Very Good,West 288,Maple Middle School,Y,N,u-10,5
Johnson,Richard,F,2015-03-09,Beginner,Silverlake/East 288,Oak Elementary,N,N,u-10,5
Smith,Jennifer,F,2015-02-08,Advanced,West 288,Poplar Academy,N,N,u-10,5
Brown,Charles,F,2015-10-10,Beginner,Far East,Spruce High,Y,N,u-10,5
Williams,Dorothy,F,2014-10-16,Advanced,West 288,Sycamore Elementary,N,N,u-10,5
Gonzalez,Barbara,F,2014-10-17,Advanced,Silverlake/East 288,Aspen Charter School,Y,N,u-10,6
Thomas,Joseph,F,2015-06-17,Beginner,Silverlake/East 288,Chestnut Middle School,N,N,u-10,6
Martinez,Susan,F,2016-07-26,Beginner,West 288,Cypress School,N,Y,u-10,6
Jackson,Margaret,F,2015-04-29,Average,Hwy 6 South,Elm Middle School,N,N,u-10,6
Smith,William,F,2015-07-02,Beginner,Silverlake/East 288,Magnolia High,N,N,u-10,6
Moore,Elizabeth,F,2015-01-04,Very Good,West 288,Maple Middle School,N,N,u-10,6
Anderson,Barbara,F,2016-07-23,Very Good,West 288,Pine High School,Y,N,u-10,6
Brown,Joseph,F,2014-12-03,Beginner,Silverlake/East 288,Redwood Preparatory,N,Y,u-10,6
Martin,David,F,2014-10-25,Average,West 288,Spruce High,N,Y,u-10,6
Williams,Susan,F,2016-07-20,Average,Blue Ridge Soccer Park (South Houston),Willow Elementary,N,Y,u-10,6
Lopez,John,F,2015-09-07,Average,Silverlake/East 288,Birch School,N,Y,u-10,7
Rodriguez,Robert,F,2016-02-25,Average,West 288,Chestnut Middle School,N,N,u-10,7
Jackson,Joseph,F,2014-10-11,Average,West 288,Cypress School,N,N,u-10,7
Anderson,John,F,2016-04-02,Average,Hwy 6 South,Elm Middle School,N,N,u-10,7
Garcia,Elizabeth,F,2015-11-24,Advanced,West 288,Magnolia High,N,N,u-10,7
Taylor,Dorothy,F,2016-03-10,Beginner,West 288,Maple Middle School,Y,N,u-10,7
Jackson,Mary,F,2015-06-23,Average,West 288,Pine High School,Y,N,u-10,7
Jackson,Robert,F,2015-07-25,Average,West 288,Redwood Preparatory,N,N,u-10,7
Martinez,Charles,F,2015-10-24,Advanced,Silverlake/East 288,Sycamore Elementary,N,N,u-10,7
Rodriguez,John,F,2014-09-22,Advanced,West 288,Willow Elementary,N,N,u-10,7
Miller,Mary,M,2012-12-05,Beginner,Silverlake/East 288,Aspen Charter School,Y,N,u-12,1
Gonzalez,Thomas,M,2012-09-19,Advanced,West 288,Birch School,Y,Y,u-12,1
Jackson,Jennifer,M,2012-09-01,Average,West 288,Cedar Academy,Y,N,u-12,1
Rodriguez,Jennifer,M,2014-04-06,Average,West 288,Cypress School,N,N,u-12,1
Davis,Thomas,M,2014-06-07,Beginner,Hwy 6 South,Elm Middle School,N,N,u-12,1
Martinez,Patricia,M,2013-09-25,Very Good,West 288,Magnolia High,N,N,u-12,1
Rodriguez,Lisa,M,2012-11-27,Beginner,Blue Ridge Soccer Park (South Houston),Maple Middle School,N,N,u-12,1
Johnson,James,M,2014-06-16,Advanced,Silverlake/East 288,Maple Middle School,N,N,u-12,1
Taylor,Linda,M,2013-04-15,Beginner,Silverlake/East 288,Oak Elementary,Y,Y,u-12,1
Wilson,Charles,M,2014-07-13,Beginner,Silverlake/East 288,Redwood Preparatory,N,N,u-12,1
Hernandez,Elizabeth,M,2013-08-31,Beginner,Silverlake/East 288,Spruce High,N,N,u-12,1
Garcia,Patricia,M,2013-03-07,Advanced,Far East,Sycamore Elementary,N,N,u-12,1
Johnson,Robert,M,2013-08-02,Beginner,Silverlake/East 288,Willow Elementary,N,N,u-12,1
Davis,Susan,M,2013-03-03,Advanced,West 288,Willow Elementary,N,N,u-12,1
Gonzalez,James,M,2013-09-27,Advanced,Silverlake/East 288,Aspen Charter School,Y,N,u-12,2
Martinez,Mary,M,2014-05-09,Beginner,Hwy 6 South,Cedar Academy,N,N,u-12,2
Rodriguez,Robert,M,2014-07-02,Advanced,Hwy 6 South,Chestnut Middle School,N,N,u-12,2
Thomas,David,M,2013-10-09,Beginner,Blue Ridge Soccer Park (South Houston),Elm Middle School,N,N,u-12,2
Moore,Jennifer,M,2013-01-05,Average,Silverlake/East 288,Elm Middle School,N,N,u-12,2
Taylor,Margaret,M,2014-04-05,Average,Silverlake/East 288,Magnolia High,N,Y,u-12,2
Martinez,William,M,2013-12-04,Advanced,Silverlake/East 288,Maple Middle School,N,N,u-12,2
Brown,Barbara,M,2014-08-27,Very Good,Silverlake/East 288,Oak Elementary,N,N,u-12,2
Brown,Dorothy,M,2014-07-04,Average,Blue Ridge Soccer Park (South Houston),Pine High School,N,N,u-12,2
Hernandez,Elizabeth,M,2012-09-18,Average,Far East,Redwood Preparatory,Y,N,u-12,2
Miller,Margaret,M,2014-03-22,Beginner,West 288,Spruce High,N,N,u-12,2
Brown,Thomas,M,2013-01-14,Advanced,Silverlake/East 288,Sycamore Elementary,N,N,u-12,2
Brown,Susan,M,2013-06-12,Beginner,West 288,Willow Elementary,N,N,u-12,2
Garcia,Charles,M,2014-08-11,Beginner,Silverlake/East 288,Birch School,N,N,u-12,3
Wilson,Jennifer,M,2013-06-27,Beginner,West 288,Cedar Academy,N,N,u-12,3
Williams,Thomas,M,2013-09-10,Average,Silverlake/East 288,Cypress School,Y,N,u-12,3
Rodriguez,John,M,2013-04-19,Beginner,Far East,Elm Middle School,N,Y,u-12,3
Moore,Patricia,M,2013-08-30,Advanced,Silverlake/East 288,Elm Middle School,N,N,u-12,3
Smith,Dorothy,M,2014-04-09,Advanced,West 288,Magnolia High,N,N,u-12,3
Hernandez,Barbara,M,2013-12-08,Advanced,Silverlake/East 288,Maple Middle School,N,N,u-12,3
Thomas,John,M,2013-03-05,Very Good,West 288,Oak Elementary,N,N,u-12,3
Hernandez,Margaret,M,2013-04-10,Very Good,West 288,Poplar Academy,N,N,u-12,3
Brown,William,M,2014-05-17,Beginner,Silverlake/East 288,Spruce High,N,Y,u-12,3
Brown,James,M,2013-12-22,Beginner,West 288,Sycamore Elementary,N,Y,u-12,3
Hernandez,Robert,M,2013-02-27,Very Good,Far East,Willow Elementary,Y,N,u-12,3
Smith,John,M,2013-12-24,Advanced,Silverlake/East 288,Willow Elementary,N,N,u-12,3
Jones,Elizabeth,F,2013-02-05,Beginner,Silverlake/East 288,Aspen Charter School,N,N,u-12,4
Taylor,David,F,2013-12-14,Very Good,Silverlake/East 288,Birch School,N,Y,u-12,4
Moore,Jennifer,F,2014-03-02,Beginner,Silverlake/East 288,Chestnut Middle School,N,Y,u-12,4
Johnson,Lisa,F,2012-12-15,Average,Silverlake/East 288,Cypress School,N,N,u-12,4
Brown,Linda,F,2012-12-29,Average,Blue Ridge Soccer Park (South Houston),Elm Middle School,N,N,u-12,4
Martinez,Mary,F,2013-10-08,Average,West 288,Magnolia High,N,N,u-12,4
Brown,James,F,2014-01-30,Very Good,Hwy 6 South,Maple Middle School,N,Y,u-12,4
Thomas,John,F,2014-04-15,Advanced,West 288,Maple Middle School,Y,N,u-12,4
Davis,Elizabeth,F,2014-04-27,Beginner,West 288,Oak Elementary,N,N,u-12,4
Martinez,John,F,2014-06-04,Advanced,West 288,Pine High School,N,N,u-12,4
Jones,Barbara,F,2013-12-06,Very Good,Far East,Redwood Preparatory,N,N,u-12,4
